name,price,detail_link,image_link,tags
Bushmills Malt 16 Years Old,"€93,95",https://slijterijdehelm.nl/winkel/whisky/malt/bushmills-malt-16-years-old/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Bushmills-malt-16-years-old-600x600.png,"Malt, Whisky"
Finlaggan Sherry Wood Cask Finish,"€52,95",https://slijterijdehelm.nl/winkel/whisky/malt/finlaggan-sherry-wood-cask-finish/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Finlaggan-sherry-wood-600x600.jpg,"Malt, Whisky"
"Adelphi Mortlach 17 Years Old 2003 #800267 57,6%","€214,95",https://slijterijdehelm.nl/winkel/whisky/malt/adelphi-mortlach-17-years-old-2003-800267-576/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Adelphi-Mortlach-17-Years-Old-2003-600x600.png,"Malt, Whisky"
"Ardbeg Traigh Bhan batch 3 19 years old 46,2%","€399,95",https://slijterijdehelm.nl/winkel/whisky/zeer-exclusieve-bottelingen/ardbeg-traigh-bhan-batch-3-19-years-old-462/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Ardbeg-Traigh-Bhan-Batch-3-600x600.webp,"Malt, Whisky, Zeer exclusieve bottelingen"
Arran Barrel Bonfire Signature Series Edition 2 50%,"€94,95",https://slijterijdehelm.nl/winkel/whisky/malt/arran-barrel-bonfire-signature-series-edition-2-50/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Arran-Barrel-Bonfire-Signature-Series-Edition-2-50-600x600.png,"Malt, Whisky"
"Dewar’s 8 years old French Smooth 0,7 ltr","€25,95",https://slijterijdehelm.nl/winkel/whisky/blended/dewars-8-years-old-french-smooth-07-ltr/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Dewars-8-years-old-French-Smooth-07-ltr-600x600.png,"Blended, Whisky"
Compass Box Celestial,"€364,95",https://slijterijdehelm.nl/winkel/whisky/malt/compass-box-celestial/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Compass-Box-Celestial-600x600.png,"Malt, Whisky"
Compass Box Duality,"€288,95",https://slijterijdehelm.nl/winkel/whisky/malt/compass-box-duality/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Compass-Box-duality-600x600.png,"Malt, Whisky"
"Ballindalloch 2016 Single Cask Bourbon Barrel #5 for BeNeLux 61,1%","€139,95",https://slijterijdehelm.nl/winkel/whisky/malt/ballindalloch-2016-single-cask-bourbon-barrel-5-for-benelux-611/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Ballindalloch-2016-Single-Cask-Bourbon-Barrel-5-for-BeNeLux-611-600x600.png,"Malt, Whisky"
"Ballindalloch 2016 Single Cask Bourbon Barrel #31 for BeNeLux 59,2%","€139,95",https://slijterijdehelm.nl/winkel/whisky/malt/ballindalloch-2016-single-cask-bourbon-barrel-31-for-benelux-592/,https://slijterijdehelm.nl/wp-content/uploads/2025/12/Ballindalloch-2016-Single-Cask-Bourbon-Barrel-31-600x600.png,"Malt, Whisky"
